"restaurant_id","name","address","location_lat","location_lng","primary_type","price_level","rating","attributes"
"ChIJoRzq9kcpQg0RDt2Co6Cu50M","EatMyTrip","C. de la Moreria, 11, Centro, 28005 Madrid, Spain","40.4130179","-3.7134264999999997","Brunch Restaurant","0","4.6","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":2317}"
"ChIJwcL6moUpQg0RwuZBd__3564","Restaurante Casa Suecia","y roof top, C. del Marqués de Casa Riera, 4, Planta baja, Centro, 28014 Madrid, Spain","40.417901799999996","-3.6962677000000004","Mediterranean Restaurant","0","4.5","{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":11168}"
"ChIJaWFEDZIpQg0RmCiEaB4hBic","Zenith Brunch & Cocktails","C. de Valverde, 28, Centro, 28004 Madrid, Spain","40.422371","-3.7016131","Brunch Restaurant","0","4.5","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":5276}"
"ChIJkRZn8f0pQg0R1Rq9U_jqDL4","Indiscreto Brunch","C. de la Reina, 25, Centro, Centro, 28004 Madrid, Spain","40.420089999999995","-3.69915","Brunch Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":330}"
"ChIJ8xyXI_EpQg0RCadUkoiQ8jo","Zurch Madrid café & kitchen | Breakfast - Brunch - Lunch","C. de la Ballesta, 10, Centro, 28004 Madrid, Spain","40.4215705","-3.7033262999999996","Brunch Restaurant","0","4.8","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":false,""userRatingCount"":541}"
"ChIJdfXphCEnQg0RWuEHIqgwzZ4","Cocuiza Brunch and Coffee","C. del Almendro, 22, Centro, 28005 Madrid, Spain","40.4121578","-3.710605299999999","Brunch Restaurant","0","4.8","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":521}"
"ChIJu-Z5oSUpQg0RL28YpIkgNCA","Coco House - Cocadas & Brunch Madrid","C. de Campoamor, 5, Centro, 28004 Madrid, Spain","40.425796299999995","-3.6961122","Brunch Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1879}"
"ChIJvYjPmpMnQg0RGBBC_Qb0X-k","Tia Julia Bar & Brunch","C. de Fray Luis de León, 7, Arganzuela, 28012 Madrid, Spain","40.4049438","-3.6986644","Bar & Grill","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":825}"
"ChIJEaSE7lYpQg0RYf-NWKoIw20","Billy Brunch","Calle de Fuencarral, 82, Centro, 28004 Madrid, Spain","40.4266612","-3.7012815","Breakfast Restaurant","0","4.8","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":1984}"
"ChIJdR5V8tQnQg0R3WslAizObwo","Carmencita Brunch - La Latina","C. de la Cava Alta, 32, Centro, 28005 Madrid, Spain","40.4118639","-3.709956","Brunch Restaurant","0","4.8","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":667}"
"ChIJ71B2D7QpQg0Rv1jCQRZ1_tk","Toby's Brunch Club","C. de San Agustín, 18, Centro, 28014 Madrid, Spain","40.4138478","-3.6970202999999997","Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":289}"
"ChIJrwwishwpQg0R5gzw_9Q_Iio","EatMyTrip Brunch & Dinner Madrid","C. de Manuela Malasaña, 17, Centro, 28004 Madrid, Spain","40.4285831","-3.7039006","Brunch Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1717}"
"ChIJKe3wxsYpQg0RxJ88Z45mqaM","Costanza Cafe","C. del Pez, 4, Centro, 28004 Madrid, Spain","40.4227778","-3.7038889","Brunch Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":853}"
"ChIJI8PjWHQpQg0R6AXiQyXxzoM","Brunchit - Las Letras","Pl. de Matute, 5, Centro, 28012 Madrid, Spain","40.413325799999996","-3.6997488","Brunch Restaurant","0","4.9","{""dineIn"":true,""takeout"":false,""delivery"":false,""outdoorSeating"":false,""reservable"":false,""userRatingCount"":892}"
"ChIJMz0uEPonQg0RrTePjJCedbc","Mad Mad Vegan","C. de Lavapiés, 16, Centro, 28012 Madrid, Spain","40.4111134","-3.7030388999999997","Vegan Restaurant","0","4.8","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":2146}"
"ChIJFUNwUm4pQg0RrsbvsOGzA3k","VEGA Alamo","C. del Álamo, 3, Centro, 28015 Madrid, Spain","40.423839799999996","-3.7091151","Vegan Restaurant","0","4.7","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":1940}"
"ChIJOZdtitYnQg0RvuYeLnSpBzo","Santa y pura Vegan Bar","C. de Sta. Isabel, 27, Centro, 28012 Madrid, Spain","40.4102089","-3.6972604","Vegan Restaurant","0","4.6","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":true,""reservable"":true,""userRatingCount"":2414}"
"ChIJp0iAs5kpQg0REg9rNYuY8PQ","Mad Mad Vegan","C. de Pelayo, 19, Centro, 28004 Madrid, Spain","40.4226983","-3.6986087","Vegan Restaurant","0","4.8","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":2934}"
"ChIJFYvOhyIpQg0RbHO4_NxjsTo","Bloved Veggie Corner","C. del Caballero de Gracia, 13, Centro, 28013 Madrid, Spain","40.4192313","-3.6991935999999996","Vegetarian Restaurant","0","4.6","{""dineIn"":true,""takeout"":false,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":524}"
"ChIJE9j0z3woQg0RFIKfHHEywMg","VEGA","C. de la Luna, 9, Centro, 28004 Madrid, Spain","40.4222989","-3.7061463","Vegan Restaurant","0","4.5","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":3042}"
"ChIJ0W4USXkoQg0R1H9auDqiISw","YERBABUENA","C. de Bordadores, 3, Centro, Centro, Centro, Centro, Centro, Centro, Centro, Centro, 28013 Madrid, Spain","40.416393899999996","-3.7078252","Restaurant","0","4.5","{""dineIn"":true,""takeout"":true,""delivery"":false,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":1847}"
"ChIJF6v8g4goQg0RBHIzCYgqfNQ","La Hummuseria","C. de Hernán Cortés, 8, Centro, 28004 Madrid, Spain","40.4234353","-3.7000271000000002","Vegetarian Restaurant","0","4.6","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":3257}"
"ChIJ29ZvwHsoQg0RmCpJuMyaYnQ","Cantina 33","C. de Campomanes, 5, Centro, 28013 Madrid, Spain","40.4190095","-3.7093678999999997","Restaurant","0","4.6","{""dineIn"":true,""takeout"":true,""delivery"":true,""outdoorSeating"":false,""reservable"":true,""userRatingCount"":3692}"
